1045 3
30 13 20 
560 549 557 
471 458 485 
162 136 160 
83 74 61 
97 74 83 
10 2 0 
359 331 344 
30 20 37 
126 137 111 
111 137 124 
520 528 509 
347 331 359 
446 457 475 
493 472 484 
546 559 558 
370 383 397 
397 383 410 
531 541 548 
323 337 352 
419 392 406 
392 377 406 
407 392 419 
96 74 97 
132 157 145 
160 136 135 
136 110 135 
161 133 145 
65 83 61 
79 65 58 
25 18 33 
151 137 126 
300 261 281 
280 261 300 
232 220 204 
177 191 204 
33 18 24 
124 137 150 
177 204 192 
192 204 220 
35 55 45 
45 23 35 
68 62 45 
45 55 68 
68 55 77 
68 82 62 
39 26 22 
22 26 10 
316 344 331 
108 116 129 
163 149 170 
63 85 86 
115 101 86 
86 101 84 
147 149 163 
163 159 147 
122 147 134 
134 147 159 
59 84 71 
27 37 20 
39 22 29 
17 16 31 
88 100 77 
478 500 487 
269 259 274 
274 292 269 
221 254 240 
221 200 213 
257 228 240 
479 472 493 
472 479 456 
456 479 467 
538 554 550 
537 520 538 
537 550 543 
538 550 537 
543 528 537 
528 520 537 
549 532 544 
557 549 544 
382 347 359 
365 347 382 
388 402 415 
388 376 365 
365 382 388 
388 382 402 
415 403 388 
388 403 376 
463 457 439 
460 477 466 
460 446 475 
475 477 460 
415 446 433 
433 403 415 
418 403 433 
446 460 433 
476 457 463 
475 457 476 
476 498 475 
510 523 502 
502 523 514 
423 411 437 
493 484 506 
547 546 558 
561 559 551 
559 546 551 
355 383 370 
355 368 383 
281 261 247 
262 252 282 
282 299 262 
262 299 281 
281 247 262 
309 299 282 
418 433 445 
445 460 466 
445 433 460 
432 443 419 
419 406 432 
432 406 418 
418 445 432 
531 521 512 
514 523 534 
494 471 485 
485 507 494 
364 352 337 
364 377 392 
410 383 395 
383 368 395 
381 408 395 
395 368 381 
435 410 422 
410 395 422 
422 395 408 
419 443 431 
431 407 419 
420 407 431 
431 444 420 
392 407 379 
379 364 392 
352 364 379 
394 407 420 
394 408 381 
420 408 394 
394 379 407 
458 444 470 
485 458 470 
434 408 420 
420 444 434 
434 422 408 
434 444 458 
176 162 160 
176 188 162 
242 259 269 
145 133 121 
121 132 145 
186 199 213 
213 200 186 
120 96 97 
110 96 120 
120 135 110 
175 176 160 
190 176 175 
175 187 190 
161 187 175 
133 161 148 
148 120 133 
135 120 148 
161 175 148 
160 135 148 
148 175 160 
48 65 61 
36 58 48 
48 58 65 
42 58 36 
36 25 42 
42 25 33 
33 52 42 
42 52 58 
153 127 141 
178 151 166 
193 178 166 
193 166 180 
180 166 153 
238 252 222 
23 7 19 
19 35 23 
14 28 19 
28 35 19 
41 23 45 
41 24 23 
45 62 41 
33 24 41 
41 52 33 
62 52 41 
11 7 23 
23 24 11 
11 24 18 
165 150 177 
177 192 165 
137 151 164 
164 150 137 
178 191 164 
164 151 178 
164 191 177 
177 150 164 
152 165 181 
181 165 192 
171 186 157 
199 186 171 
124 150 138 
138 165 152 
150 165 138 
10 26 15 
2 10 15 
15 28 14 
14 3 15 
3 2 15 
82 68 89 
100 114 89 
77 100 89 
89 68 77 
9 10 0 
9 22 10 
335 316 310 
344 316 335 
335 360 344 
81 57 71 
70 57 81 
116 108 95 
95 101 116 
84 101 95 
108 81 95 
71 84 95 
95 81 71 
128 101 115 
116 101 128 
163 170 189 
189 170 201 
149 147 123 
123 147 122 
122 98 123 
104 98 122 
115 86 104 
104 86 85 
85 98 104 
104 134 115 
122 134 104 
251 245 226 
273 251 287 
273 245 251 
38 59 47 
47 27 38 
37 27 47 
47 57 37 
47 59 71 
71 57 47 
84 59 72 
63 86 72 
72 86 84 
30 37 49 
37 57 49 
49 57 70 
17 29 12 
12 29 22 
22 9 12 
17 12 4 
39 29 46 
54 67 46 
90 113 102 
126 111 102 
102 113 126 
76 67 54 
90 67 76 
54 46 34 
34 46 29 
34 29 17 
17 31 34 
21 31 16 
16 8 21 
21 13 30 
21 8 13 
69 76 54 
69 80 91 
91 76 69 
100 88 112 
124 138 112 
78 67 90 
90 102 78 
426 451 425 
426 425 401 
401 425 399 
441 451 426 
378 405 390 
390 405 417 
319 292 302 
292 274 302 
315 301 280 
280 300 315 
315 300 328 
370 397 384 
384 397 411 
396 411 423 
396 384 411 
393 405 378 
421 405 393 
279 313 298 
301 313 279 
307 293 278 
321 307 340 
321 293 307 
304 293 321 
321 333 304 
268 257 240 
240 254 268 
254 278 268 
268 278 293 
275 293 304 
275 268 293 
257 268 275 
228 257 244 
509 503 488 
467 479 488 
525 503 519 
509 528 519 
519 503 509 
513 503 525 
499 520 509 
509 488 499 
499 488 479 
499 479 493 
461 484 472 
421 436 447 
436 461 447 
472 456 447 
447 461 472 
527 544 532 
530 544 527 
515 527 532 
507 527 515 
505 494 515 
515 494 507 
530 521 540 
531 548 540 
540 521 531 
492 507 485 
485 470 492 
492 470 481 
418 406 389 
389 403 418 
389 406 377 
389 377 363 
363 376 389 
376 403 389 
402 382 398 
391 412 398 
398 382 359 
463 439 438 
415 402 427 
427 446 415 
457 446 427 
427 439 457 
256 229 243 
510 502 489 
489 502 477 
489 498 510 
475 498 489 
489 477 475 
466 477 490 
477 502 490 
490 480 466 
490 502 514 
449 436 423 
423 437 449 
449 461 436 
449 437 462 
424 437 411 
424 410 435 
411 397 424 
424 397 410 
462 437 450 
435 459 450 
450 424 435 
437 424 450 
486 462 474 
462 450 474 
474 450 459 
538 520 516 
493 506 516 
516 499 493 
520 499 516 
495 506 484 
555 547 558 
547 555 542 
542 554 538 
542 555 554 
561 551 552 
552 560 561 
549 560 552 
281 299 314 
314 300 281 
328 300 314 
233 247 261 
323 352 339 
339 309 323 
443 432 453 
453 469 443 
