1344 3
 -3.3581017e-001 -8.5770290e-001 -1.5800963e-001
 -2.5043746e-001 -8.5381650e-001 -1.7743704e-001
 -1.1457803e-001 -9.0087732e-001 -1.6666223e-001
 -2.5252397e-002 -8.8995300e-001 -1.7748883e-001
  5.2605917e-002 -8.3850932e-001 -1.9526837e-001
  1.3880479e-001 -8.7899869e-001 -1.7716831e-001
  2.1822962e-001 -9.1178119e-001 -1.4361694e-001
  2.9563491e-001 -8.6012771e-001 -1.6608353e-001
 -5.0989573e-001 -7.6260480e-001 -1.6064835e-001
 -4.2720312e-001 -7.9942594e-001 -1.6762104e-001
 -3.3122554e-001 -7.7821879e-001 -1.9385718e-001
 -2.3259605e-001 -7.6690201e-001 -1.9965384e-001
 -1.5090469e-001 -8.2922791e-001 -1.9460491e-001
 -5.2850973e-002 -8.0880745e-001 -1.9930215e-001
  3.4102428e-002 -7.5369716e-001 -1.9491544e-001
  1.3649986e-001 -7.8579794e-001 -1.9975953e-001
  2.2168511e-001 -8.2152182e-001 -1.9268325e-001
  2.3035626e-001 -7.3192935e-001 -1.9733428e-001
  3.2346316e-001 -7.7681049e-001 -1.9500898e-001
  4.2995050e-001 -7.9258059e-001 -1.7106277e-001
 -5.9679707e-001 -7.0896174e-001 -1.5284777e-001
 -5.0889464e-001 -6.8993549e-001 -1.9087735e-001
 -4.1316570e-001 -7.1410269e-001 -1.9793076e-001
 -3.1177610e-001 -6.9619961e-001 -1.9658563e-001
 -2.2070099e-001 -6.7521151e-001 -1.7974308e-001
 -1.3596900e-001 -6.5373999e-001 -1.5174580e-001
 -1.3394086e-001 -7.3973088e-001 -1.9430750e-001
 -4.9782285e-002 -7.0893693e-001 -1.7970415e-001
  4.5903855e-002 -6.7168920e-001 -1.5624948e-001
  1.3028058e-001 -7.0052048e-001 -1.8069825e-001
  2.1772234e-001 -6.4179839e-001 -1.5983494e-001
  3.1509968e-001 -6.7810063e-001 -1.9330969e-001
  4.0221062e-001 -7.1107979e-001 -1.9875279e-001
  5.0612867e-001 -7.3280332e-001 -1.7716471e-001
  5.8944439e-001 -6.6794232e-001 -1.7684183e-001
 -6.7012710e-001 -6.3719208e-001 -1.5439308e-001
 -5.8014251e-001 -6.2804110e-001 -1.9146978e-001
 -4.6713399e-001 -6.1912945e-001 -1.9846100e-001
 -3.8518832e-001 -6.2158658e-001 -1.8826922e-001
 -3.0416510e-001 -6.0647878e-001 -1.6031248e-001
  2.9963037e-001 -5.9210799e-001 -1.4850891e-001
  3.9878609e-001 -6.1645836e-001 -1.8932320e-001
  4.8618726e-001 -6.5009319e-001 -1.9924077e-001
  5.6006740e-001 -5.8624289e-001 -1.9923256e-001
  6.5531660e-001 -6.1300408e-001 -1.7331334e-001
 -7.2759921e-001 -5.5823144e-001 -1.6036630e-001
 -6.4655705e-001 -5.5326674e-001 -1.9233535e-001
 -5.3914257e-001 -5.4783271e-001 -1.9751118e-001
 -4.5248187e-001 -5.2996019e-001 -1.7210842e-001
  3.8588050e-001 -5.3729009e-001 -1.4589030e-001
  4.7786064e-001 -5.5505169e-001 -1.8867229e-001
  5.5660928e-001 -4.8259551e-001 -1.9011910e-001
  6.3337429e-001 -5.2574827e-001 -1.9812607e-001
  7.3502734e-001 -5.5457770e-001 -1.5737722e-001
 -7.7516106e-001 -4.7915389e-001 -1.6442032e-001
 -6.8908879e-001 -4.6127250e-001 -1.9714783e-001
 -5.9865988e-001 -4.7684355e-001 -1.9702278e-001
 -5.2033594e-001 -4.5276693e-001 -1.6800478e-001
  4.7200947e-001 -4.7682420e-001 -1.5471645e-001
  6.3150275e-001 -4.1671109e-001 -1.9538013e-001
  7.0471254e-001 -4.7868442e-001 -1.9246868e-001
  7.9353547e-001 -4.7933990e-001 -1.5261017e-001
 -8.1959856e-001 -3.9228717e-001 -1.6618306e-001
 -7.2561914e-001 -3.8705298e-001 -1.9831508e-001
 -6.1497211e-001 -3.8965730e-001 -1.8710523e-001
  5.3949665e-001 -3.9303469e-001 -1.5120318e-001
  6.7761725e-001 -3.2776445e-001 -1.9452719e-001
  7.3481718e-001 -3.9935690e-001 -1.9578345e-001
  8.2294088e-001 -3.9962991e-001 -1.6245524e-001
 -8.7041736e-001 -3.0611479e-001 -1.5643279e-001
 -7.8444961e-001 -3.0859493e-001 -1.9462283e-001
 -6.8137113e-001 -3.1208687e-001 -1.9375347e-001
 -5.9529249e-001 -3.0326518e-001 -1.5197128e-001
  6.0113259e-001 -3.2713789e-001 -1.6460842e-001
  7.7473841e-001 -3.1626075e-001 -1.9602680e-001
  8.6402453e-001 -3.0862078e-001 -1.6010889e-001
 -8.4114773e-001 -2.2096046e-001 -1.8655272e-001
 -7.4703394e-001 -2.2516494e-001 -1.9896032e-001
 -6.5654277e-001 -2.2786086e-001 -1.7136768e-001
  6.1784431e-001 -2.4162217e-001 -1.4762875e-001
  7.1505694e-001 -2.4327323e-001 -1.9510033e-001
  8.2639816e-001 -2.3171396e-001 -1.9035906e-001
 -9.0264398e-001 -1.4317761e-001 -1.6275069e-001
 -8.1634616e-001 -1.3630974e-001 -1.9748374e-001
 -7.1771074e-001 -1.4143100e-001 -1.8837672e-001
  6.7441344e-001 -1.7185071e-001 -1.7184834e-001
  7.6810474e-001 -1.5784051e-001 -1.9918667e-001
  8.7443340e-001 -1.4265490e-001 -1.7912220e-001
 -8.7960164e-001 -5.7001010e-002 -1.8157892e-001
 -7.7835821e-001 -5.9056409e-002 -1.9887253e-001
 -6.9194647e-001 -5.1036536e-002 -1.7086160e-001
  7.1751537e-001 -7.4820383e-002 -1.8449364e-001
  8.1463592e-001 -8.3170202e-002 -1.9858264e-001
  9.0891714e-001 -5.2095152e-002 -1.6537011e-001
 -8.4158731e-001  2.4396135e-002 -1.9498670e-001
 -7.4718571e-001  3.0781215e-002 -1.9333467e-001
 -6.5915515e-001  4.2019403e-002 -1.4543560e-001
  7.4900384e-001  4.5863431e-003 -1.9358151e-001
  8.3963524e-001  4.3231659e-003 -1.9539150e-001
  8.9924602e-001  5.5503904e-002 -1.7164625e-001
 -8.8861124e-001  1.0610870e-001 -1.7484348e-001
 -7.9727194e-001  1.1476636e-001 -1.9949436e-001
 -7.0264737e-001  1.1495461e-001 -1.8014867e-001
  7.1057627e-001  7.7785462e-002 -1.8149364e-001
  8.0441830e-001  9.6294819e-002 -1.9938664e-001
  8.9026495e-001  1.3238751e-001 -1.7186729e-001
 -8.4678076e-001  1.9503550e-001 -1.8655770e-001
 -7.4756346e-001  1.9364843e-001 -1.9804596e-001
 -6.5743933e-001  2.0957624e-001 -1.6796924e-001
  6.7135890e-001  1.5450314e-001 -1.6711017e-001
  7.5178625e-001  1.6944343e-001 -1.9784428e-001
  8.3219809e-001  2.0192346e-001 -1.9112553e-001
 -8.8898110e-001  2.6486733e-001 -1.5238801e-001
 -7.9809249e-001  2.7417227e-001 -1.9448456e-001
 -6.9209239e-001  2.8217493e-001 -1.9324046e-001
  6.8157393e-001  2.4812051e-001 -1.8606996e-001
  7.7172065e-001  2.7041673e-001 -1.9882982e-001
  8.6131899e-001  2.9010603e-001 -1.6601300e-001
 -8.3207291e-001  3.4894892e-001 -1.7039373e-001
 -7.3621621e-001  3.4793957e-001 -1.9906469e-001
 -6.0192701e-001  3.0525066e-001 -1.5767974e-001
  6.4051796e-001  3.2901728e-001 -1.8399715e-001
  7.1572640e-001  3.5336647e-001 -1.9968901e-001
  8.0219357e-001  3.6304555e-001 -1.8210289e-001
 -8.3655361e-001  4.3677357e-001 -1.3705895e-001
 -7.5761044e-001  4.2401620e-001 -1.8693712e-001
 -6.4635613e-001  3.8809699e-001 -1.9479442e-001
 -5.5018508e-001  3.8964428e-001 -1.5734176e-001
  5.5419783e-001  3.8800377e-001 -1.5886813e-001
  6.3373121e-001  4.2647493e-001 -1.9676703e-001
  7.2650022e-001  4.4102068e-001 -1.9305326e-001
 -7.6857432e-001  5.0721729e-001 -1.5739683e-001
 -6.7626180e-001  4.8369672e-001 -1.9666727e-001
 -5.7064466e-001  4.6766878e-001 -1.9049382e-001
 -4.7868360e-001  4.6962861e-001 -1.5387412e-001
  4.8606422e-001  4.7411890e-001 -1.6105884e-001
  5.6453980e-001  4.9556376e-001 -1.9416302e-001
  6.5473586e-001  5.1849638e-001 -1.9610647e-001
  7.5082748e-001  5.1605150e-001 -1.6484657e-001
 -6.9161224e-001  5.6977101e-001 -1.7373366e-001
 -5.9431554e-001  5.5790769e-001 -1.9903437e-001
 -5.0105943e-001  5.4820388e-001 -1.9194125e-001
 -4.2123768e-001  6.2156518e-001 -1.9408869e-001
 -4.0423078e-001  5.3952943e-001 -1.5716814e-001
  4.1576216e-001  5.5459374e-001 -1.7023297e-001
  4.9952949e-001  5.7499297e-001 -1.9637096e-001
  5.8790445e-001  5.9062829e-001 -1.9636630e-001
  6.8136273e-001  5.9669416e-001 -1.6847127e-001
 -6.9079252e-001  6.5989637e-001 -1.2327167e-001
 -6.1541735e-001  6.3946900e-001 -1.7839872e-001
 -5.1234612e-001  6.3478367e-001 -1.9890015e-001
 -3.3923398e-001  6.8699029e-001 -1.9715090e-001
 -3.2155972e-001  6.0485046e-001 -1.6518607e-001
 -2.3609683e-001  6.6135156e-001 -1.7548445e-001
  1.9257503e-001  6.6889613e-001 -1.7188876e-001
  2.6354883e-001  6.0769291e-001 -1.4715264e-001
  3.4961358e-001  6.2582334e-001 -1.8256916e-001
  4.3588851e-001  6.5155963e-001 -1.9917453e-001
  5.3136146e-001  6.6657615e-001 -1.9182369e-001
  6.1879345e-001  6.7322070e-001 -1.6265712e-001
 -5.3879180e-001  7.1389093e-001 -1.7535429e-001
 -4.9029053e-001  7.7460734e-001 -1.6040446e-001
 -4.3002566e-001  7.1536002e-001 -1.9639525e-001
 -3.3311024e-001  7.7663527e-001 -1.9406780e-001
 -2.4882220e-001  7.4535260e-001 -1.9928948e-001
 -1.4966897e-001  7.1061177e-001 -1.8642788e-001
 -6.8380166e-002  6.7002928e-001 -1.5632426e-001
  2.2789189e-002  7.0368089e-001 -1.7631424e-001
  1.1313078e-001  7.3358970e-001 -1.9181356e-001
  1.9779218e-001  7.6103888e-001 -1.9933088e-001
  2.7762855e-001  6.9511743e-001 -1.9350929e-001
  3.6907515e-001  7.2473095e-001 -1.9911805e-001
  4.7063370e-001  7.4126691e-001 -1.8283773e-001
  5.5430970e-001  7.4931560e-001 -1.4820393e-001
 -4.0105812e-001  8.1213298e-001 -1.6847673e-001
 -3.0508429e-001  8.7340467e-001 -1.5447032e-001
 -2.3638330e-001  8.3593500e-001 -1.8695473e-001
 -1.5594416e-001  8.0031364e-001 -1.9887224e-001
 -6.0124206e-002  7.5662709e-001 -1.9587224e-001
  2.7142018e-002  7.9322166e-001 -1.9963780e-001
  1.1761124e-001  8.2801868e-001 -1.9594715e-001
  2.1923286e-001  8.5003343e-001 -1.8299570e-001
  2.9522923e-001  7.8935280e-001 -1.9468421e-001
  3.9427305e-001  8.0949035e-001 -1.7143339e-001
 -1.4534589e-001  8.8874632e-001 -1.7170572e-001
 -6.2021581e-002  8.4983467e-001 -1.9211255e-001
  3.7307945e-002  8.8440024e-001 -1.7954288e-001
  1.3723312e-001  9.1008559e-001 -1.5791947e-001
 -1.9744903e-001 -9.2323815e-001 -1.3656984e-001
 -1.2808720e-001 -9.6989188e-001 -8.7484069e-002
 -4.4142193e-002 -9.5855147e-001 -1.1760444e-001
  5.1272541e-002 -9.2870131e-001 -1.4986481e-001
  1.3787789e-001 -9.5484665e-001 -1.1102074e-001
  2.2496273e-001 -9.6155419e-001 -6.4969246e-002
  3.1314068e-001 -9.1971878e-001 -9.8978318e-002
 -4.8710943e-001 -8.3799598e-001 -1.0300183e-001
 -4.0073712e-001 -8.7726475e-001 -1.1115752e-001
 -2.9665539e-001 -9.2109245e-001 -1.0477960e-001
 -2.5816829e-001 -8.7053524e-001 -7.4252387e-002
 -1.8324882e-001 -8.2870587e-001 -1.1580816e-001
 -9.1540830e-002 -8.6835866e-001 -9.4280729e-002
 -3.2280069e-003 -8.9899103e-001 -6.6169386e-002
  9.0449305e-002 -8.6539593e-001 -1.0293295e-001
  1.7278775e-001 -8.2423135e-001 -1.0267573e-001
  2.5947738e-001 -8.6408409e-001 -6.5134770e-002
  3.7887831e-001 -8.5541331e-001 -1.4501449e-001
  4.5425973e-001 -8.6265616e-001 -9.3028157e-002
 -5.7776647e-001 -7.8431473e-001 -9.5203937e-002
 -4.7338739e-001 -7.6446997e-001 -7.0050740e-002
 -3.8079204e-001 -7.4559428e-001 -2.7114681e-002
 -3.8155225e-001 -7.7403886e-001 -1.0919693e-001
 -2.7995121e-001 -7.7296370e-001 -1.1299096e-001
 -1.7875992e-001 -7.4568450e-001 -1.2156278e-001
 -8.3395705e-002 -7.8428960e-001 -1.1744269e-001
  3.8654007e-003 -8.1737922e-001 -1.1001013e-001
  8.7177860e-002 -7.6760656e-001 -1.1425745e-001
  1.8005256e-001 -7.2884189e-001 -1.1403980e-001
  2.6316459e-001 -7.8404390e-001 -1.0843171e-001
  3.5551182e-001 -8.2313676e-001 -7.5125394e-002
  4.4791019e-001 -7.7380364e-001 -7.2573311e-002
  5.2109300e-001 -8.0211701e-001 -1.2137031e-001
  6.0596096e-001 -7.8038044e-001 -6.1655833e-002
 -6.5907870e-001 -7.2125076e-001 -8.9705097e-002
 -5.4017806e-001 -6.8838021e-001 -8.1906983e-002
 -4.4422377e-001 -6.8656764e-001 -1.1000897e-001
 -3.5107567e-001 -6.8997759e-001 -1.1270877e-001
 -2.5963594e-001 -6.8665747e-001 -1.0595837e-001
 -1.8240334e-001 -6.9046085e-001 -5.9251306e-002
 -1.3224224e-001 -7.8205508e-001 -4.1605693e-002
 -9.1846848e-002 -6.9768522e-001 -7.6741450e-002
 -2.6377038e-003 -7.2728647e-001 -9.4742843e-002
  9.0662196e-002 -6.8355692e-001 -6.0838542e-002
  1.9175556e-001 -6.5381018e-001 -5.6428341e-002
  2.7894257e-001 -6.9154951e-001 -1.1441886e-001
  3.5625147e-001 -7.4533064e-001 -1.1153523e-001
  4.3868622e-001 -6.9479188e-001 -1.1759185e-001
  5.2199317e-001 -7.2432641e-001 -6.6601103e-002
  5.9422074e-001 -7.3791411e-001 -1.3285297e-001
  6.6901776e-001 -6.9792270e-001 -1.0712670e-001
 -7.3196341e-001 -6.4332916e-001 -9.4260672e-002
 -6.2230438e-001 -6.3207486e-001 -8.7457458e-002
 -5.1667970e-001 -6.0943633e-001 -1.2235692e-001
 -4.7747578e-001 -6.0935607e-001 -5.0352042e-002
 -4.0346652e-001 -5.9812808e-001 -1.0413928e-001
 -3.0407935e-001 -6.1599128e-001 -6.0785041e-002
 -2.1589947e-001 -5.9843593e-001 -1.1758466e-001
 -1.3488768e-001 -5.9771010e-001 -7.4793701e-002
 -4.4594643e-002 -6.3637015e-001 -1.2079273e-001
  3.6397169e-002 -6.1450566e-001 -8.3678236e-002
  1.1968899e-001 -5.8876050e-001 -3.6231325e-002
  1.3253241e-001 -6.2651623e-001 -1.2387354e-001
  2.1693642e-001 -5.7417335e-001 -8.0711869e-002
  2.8897055e-001 -6.1834156e-001 -5.4526139e-002
  3.7154658e-001 -6.3802160e-001 -1.1292691e-001
  4.6808822e-001 -6.0032900e-001 -1.0314836e-001
  5.3757280e-001 -6.5201914e-001 -1.1274289e-001
  6.3394711e-001 -6.2362596e-001 -8.3659262e-002
  7.4730889e-001 -6.5486944e-001 -4.3159036e-002
 -7.9529029e-001 -5.5765740e-001 -9.9670536e-002
 -6.9974152e-001 -5.5922481e-001 -7.3984016e-002
 -6.1870561e-001 -5.2592021e-001 -4.6604042e-002
 -6.0581919e-001 -5.5136388e-001 -1.2400312e-001
 -5.2399398e-001 -5.2337599e-001 -9.6783390e-002
 -3.7922995e-001 -5.2695323e-001 -1.3417203e-001
 -3.0129177e-001 -5.4205308e-001 -9.3101182e-002
  3.1229871e-001 -5.2836928e-001 -7.8409092e-002
  3.9324636e-001 -5.8007167e-001 -4.2039172e-002
  4.6812682e-001 -5.2249285e-001 -8.4580385e-002
  5.6401557e-001 -5.5820326e-001 -1.1800199e-001
  6.6238611e-001 -5.3607908e-001 -1.0873819e-001
  7.3144724e-001 -6.2462785e-001 -1.1511853e-001
  8.0315778e-001 -5.6484419e-001 -7.9525513e-002
 -8.4760770e-001 -4.6767594e-001 -1.0566175e-001
 -7.6846561e-001 -4.7642472e-001 -6.0689042e-002
 -6.8054165e-001 -4.7786225e-001 -1.2203989e-001
 -5.9823298e-001 -4.4631739e-001 -1.0243370e-001
 -5.2472612e-001 -4.4353076e-001 -5.3793400e-002
 -4.4757327e-001 -4.4552124e-001 -1.1180707e-001
  3.9013205e-001 -4.7380007e-001 -7.8315942e-002
  4.6441262e-001 -4.1585800e-001 -9.8769049e-002
  5.5759066e-001 -4.7176742e-001 -9.2121104e-002
  6.3259474e-001 -4.5698638e-001 -1.1540506e-001
  7.3949296e-001 -4.8738425e-001 -8.8713295e-002
  8.5088054e-001 -4.8021101e-001 -8.9755082e-002
 -8.8957949e-001 -3.8398606e-001 -1.0425465e-001
 -7.5326296e-001 -4.0571227e-001 -1.0719357e-001
 -6.6478090e-001 -3.7602669e-001 -1.0852048e-001
 -5.8391766e-001 -3.5797442e-001 -5.8163978e-002
 -5.2893227e-001 -3.7311604e-001 -1.3196764e-001
  4.8833857e-001 -3.5478601e-001 -5.0681728e-002
  6.3842424e-001 -3.6948655e-001 -9.9729245e-002
  6.8482608e-001 -4.4528573e-001 -4.1184984e-002
  7.2313021e-001 -3.9732164e-001 -1.2262485e-001
  7.9402794e-001 -4.1397628e-001 -5.3478477e-002
  8.8527394e-001 -3.9099219e-001 -1.0640758e-001
 -9.3294703e-001 -3.0303692e-001 -7.9961445e-002
 -8.0022333e-001 -3.2888896e-001 -9.0055305e-002
 -7.1699760e-001 -3.0451259e-001 -1.2076405e-001
 -6.3898810e-001 -2.7487012e-001 -7.1907881e-002
 -5.4197247e-001 -2.8339485e-001 -7.5064898e-002
  5.4736249e-001 -3.0149909e-001 -1.0143150e-001
  7.2201031e-001 -3.4042930e-001 -4.5056313e-002
  6.9597198e-001 -2.9375715e-001 -1.1275964e-001
  7.9451183e-001 -3.2581217e-001 -1.0014406e-001
  9.2473413e-001 -3.1289479e-001 -9.1077516e-002
 -9.1840191e-001 -2.3026715e-001 -1.3305223e-001
 -8.7279442e-001 -1.9562082e-001 -8.1308424e-002
 -7.9212172e-001 -2.4552612e-001 -1.0803838e-001
 -7.0212726e-001 -2.0173390e-001 -1.0100409e-001
 -5.9343222e-001 -2.0471937e-001 -1.0542664e-001
  5.6626547e-001 -2.1773324e-001 -6.0248874e-002
  6.7696083e-001 -2.0835471e-001 -6.9977841e-002
  7.6207759e-001 -2.3306118e-001 -1.2969349e-001
  8.5130651e-001 -2.4793610e-001 -7.8290092e-002
  9.1145668e-001 -2.2318078e-001 -1.4243421e-001
 -9.6661182e-001 -1.4697484e-001 -8.8881489e-002
 -8.6270252e-001 -1.0365902e-001 -8.5475344e-002
 -7.8553953e-001 -1.5194168e-001 -1.1928671e-001
 -7.0225374e-001 -9.8333346e-002 -9.1217012e-002
 -6.3967148e-001 -1.3321721e-001 -1.3878517e-001
  6.0615683e-001 -1.5105144e-001 -1.0040077e-001
  7.3161906e-001 -1.4127966e-001 -1.0588221e-001
  8.2494556e-001 -1.6193225e-001 -1.1586204e-001
  9.4784452e-001 -1.4074978e-001 -1.1973311e-001
 -9.5342704e-001 -6.3588596e-002 -1.2308030e-001
 -9.2342438e-001 -4.4485160e-002 -4.1510030e-002
 -7.9673049e-001 -4.7669405e-002 -1.2623703e-001
 -7.7613523e-001 -8.2198694e-002 -4.4923238e-002
 -6.2552677e-001 -3.6503193e-002 -1.0343702e-001
  6.4796375e-001 -8.7689029e-002 -1.3882385e-001
  7.1925410e-001 -4.9405858e-002 -7.9969688e-002
  7.9915576e-001 -5.3318815e-002 -1.2204533e-001
  8.7641139e-001 -8.8701070e-002 -8.6028218e-002
  9.7608302e-001 -5.6275749e-002 -8.8641671e-002
 -9.3149236e-001  2.4808634e-002 -1.4842117e-001
 -8.6511916e-001  3.7473376e-004 -9.2934413e-002
 -7.9544844e-001  2.6081090e-002 -4.0764485e-002
 -7.3349817e-001 -1.9943767e-003 -1.0717659e-001
 -6.0839731e-001  5.9656364e-002 -7.0631958e-002
  6.5455896e-001  4.8762460e-003 -1.3958544e-001
  7.2457916e-001  2.9892079e-002 -9.0656796e-002
  8.1221350e-001 -2.2635194e-002 -3.9329132e-002
  8.8487404e-001  6.2335112e-003 -7.8317085e-002
  9.5499471e-001  2.4827553e-002 -1.2311873e-001
 -9.6650347e-001  9.8814899e-002 -9.9386201e-002
 -8.7904879e-001  9.1942638e-002 -8.4640520e-002
 -7.9375284e-001  7.8977361e-002 -1.1920044e-001
 -7.1255948e-001  8.5961171e-002 -7.2807170e-002
 -6.2760013e-001  1.3704608e-001 -1.2515224e-001
  6.3013193e-001  8.8935163e-002 -1.1711027e-001
  7.4192341e-001  1.2120694e-001 -8.8585847e-002
  8.1008341e-001  5.2495133e-002 -1.1261179e-001
  8.9811812e-001  1.0038121e-001 -6.6490806e-002
  9.5886873e-001  1.2109337e-001 -1.0717822e-001
 -9.3041270e-001  1.7892192e-001 -1.3282976e-001
 -8.2176512e-001  1.7342955e-001 -1.1419182e-001
 -7.3256261e-001  1.6394701e-001 -9.3605470e-002
 -6.6258810e-001  1.4488761e-001 -2.4280893e-002
 -5.8142610e-001  1.5933433e-001 -4.7383655e-002
  6.1360717e-001  1.9659613e-001 -1.2862477e-001
  7.4519342e-001  2.1268317e-001 -1.1204645e-001
  8.2688930e-001  1.4935211e-001 -1.0953917e-001
  9.1648894e-001  2.1147414e-001 -1.4067833e-001
 -9.4211414e-001  2.7200158e-001 -8.2009841e-002
 -8.3034502e-001  2.7873887e-001 -8.4222844e-002
 -7.5298410e-001  2.4866693e-001 -1.2035633e-001
 -6.6488609e-001  2.2565251e-001 -7.1490650e-002
 -5.8311231e-001  2.3473505e-001 -1.0698186e-001
  5.6188712e-001  2.3730496e-001 -6.8174711e-002
  6.6130506e-001  2.7348051e-001 -8.9067794e-002
  7.3258685e-001  3.1109529e-001 -1.1717446e-001
  8.2321666e-001  2.5208067e-001 -9.6875816e-002
  9.3136095e-001  2.8884742e-001 -9.4288058e-002
 -8.9545385e-001  3.5786255e-001 -1.1137101e-001
 -7.7427386e-001  3.5230553e-001 -1.0337228e-001
 -6.7855922e-001  3.1819819e-001 -1.1713832e-001
 -6.1595871e-001  3.1239814e-001 -4.1504500e-002
 -5.2997800e-001  3.1881160e-001 -8.8940479e-002
  5.8782011e-001  2.9136146e-001 -1.4152674e-001
  6.5083430e-001  3.8335895e-001 -1.1760963e-001
  7.6894176e-001  3.2123935e-001 -3.3623814e-002
  8.2282012e-001  3.4728733e-001 -8.9232486e-002
  8.8973026e-001  3.6588293e-001 -1.1393965e-001
 -8.8256090e-001  4.4578527e-001 -6.0705307e-002
 -7.7847284e-001  4.4320175e-001 -6.5593280e-002
 -7.0414633e-001  4.2011505e-001 -1.2413538e-001
 -6.1273824e-001  3.8877724e-001 -9.4414216e-002
 -5.4671232e-001  3.8816979e-001 -1.3735404e-002
 -4.7691865e-001  3.9620800e-001 -9.2802763e-002
  4.7313962e-001  4.0907316e-001 -1.0129023e-001
  5.7099925e-001  4.6024339e-001 -1.1301619e-001
  6.4616781e-001  4.3932715e-001 -4.9502867e-002
  7.3351396e-001  4.0703643e-001 -1.0288421e-001
  8.2091114e-001  4.3754423e-001 -1.5010024e-001
 -8.2557740e-001  5.2731935e-001 -8.4338775e-002
 -7.2053917e-001  5.1133185e-001 -9.2354357e-002
 -6.2984032e-001  4.8091263e-001 -1.3295794e-001
 -5.5621931e-001  4.5207606e-001 -7.9760926e-002
 -4.7553780e-001  4.8494974e-001 -5.0504243e-002
 -4.0200497e-001  4.6949774e-001 -9.0148767e-002
  4.0609770e-001  4.8207895e-001 -1.1015850e-001
  4.9115885e-001  4.8920012e-001 -5.0285659e-002
  5.8132192e-001  5.2307589e-001 -5.0360537e-002
  6.6074220e-001  4.9467134e-001 -1.1911595e-001
  7.3029390e-001  5.0419652e-001 -6.9801241e-002
  8.2227616e-001  5.1009823e-001 -1.0605551e-001
 -7.9911993e-001  5.9654043e-001 -2.0374957e-002
 -7.5907842e-001  5.9842194e-001 -1.0787048e-001
 -6.4661047e-001  5.7164412e-001 -1.0660032e-001
 -5.5143588e-001  5.3300951e-001 -1.0541006e-001
 -4.7123144e-001  5.7819825e-001 -1.0706936e-001
 -3.8206383e-001  6.3555852e-001 -1.1021677e-001
 -3.2443283e-001  5.3539309e-001 -1.0382550e-001
 -2.3960043e-001  5.8783725e-001 -1.1611221e-001
  2.5082074e-001  5.5364740e-001 -6.0909049e-002
  3.3451509e-001  5.4688018e-001 -1.2477656e-001
  4.1525762e-001  5.5122044e-001 -5.8860780e-002
  4.9900500e-001  5.4714740e-001 -1.1738149e-001
  5.8749221e-001  5.7398543e-001 -1.2145945e-001
  6.6231624e-001  5.8814907e-001 -7.2854008e-002
  7.5175153e-001  5.9533142e-001 -1.1910820e-001
 -7.3208769e-001  6.7213131e-001 -4.1999504e-002
 -6.3011136e-001  6.5510425e-001 -5.4179007e-002
