1295 3 
-1.023655e-001 -3.839610e-001 -9.176575e-001 
-1.971124e-001 -2.232608e-001 -9.546210e-001 
-3.163496e-002 -2.389866e-001 -9.705074e-001 
9.585681e-002 -3.327810e-001 -9.381195e-001 
2.741040e-001 -2.414007e-001 -9.309096e-001 
-3.156817e-001 -5.877994e-002 -9.470428e-001 
-1.565257e-001 -7.469835e-002 -9.848451e-001 
-3.953371e-003 -7.634014e-002 -9.970740e-001 
2.705986e-001 -6.067689e-002 -9.607782e-001 
3.949273e-001 5.148489e-002 -9.172686e-001 
-2.455001e-001 9.271894e-002 -9.649523e-001 
-6.763785e-002 8.199096e-002 -9.943353e-001 
1.258304e-001 3.677226e-002 -9.913700e-001 
2.473332e-001 1.354320e-001 -9.594188e-001 
-1.412128e-001 2.336477e-001 -9.620123e-001 
-9.720361e-003 3.448199e-001 -9.386185e-001 
5.834627e-002 1.966299e-001 -9.787402e-001 
1.881146e-001 2.993987e-001 -9.354001e-001 
-3.810426e-001 -5.095663e-001 -7.714588e-001 
-2.139053e-001 -6.169163e-001 -7.574027e-001 
-6.883818e-002 -5.404624e-001 -8.385474e-001 
9.281666e-002 -6.203610e-001 -7.788051e-001 
2.435264e-001 -5.518132e-001 -7.976196e-001 
-4.506130e-001 -3.380116e-001 -8.262542e-001 
-2.977628e-001 -3.598527e-001 -8.842191e-001 
-2.360041e-001 -4.843522e-001 -8.424399e-001 
-2.147914e-002 -3.349327e-001 -7.980458e-001 
7.393924e-002 -4.790414e-001 -8.746727e-001 
2.477708e-001 -4.050779e-001 -8.800690e-001 
4.121568e-001 -3.025344e-001 -8.594182e-001 
-5.329998e-001 -1.858880e-001 -8.254434e-001 
-3.645438e-001 -2.004621e-001 -9.093529e-001 
-2.040768e-001 -2.665477e-001 -8.024648e-001 
-4.167042e-002 -1.604474e-001 -8.400318e-001 
1.388480e-001 -2.445625e-001 -8.271181e-001 
3.046449e-001 -1.433137e-001 -7.986610e-001 
4.285692e-001 -1.216428e-001 -8.952829e-001 
5.537450e-001 -1.912620e-001 -8.104229e-001 
-4.818541e-001 -4.940213e-002 -8.748578e-001 
-3.168209e-001 5.004132e-003 -8.112450e-001 
-2.128253e-001 -1.166512e-001 -7.973807e-001 
3.301427e-002 5.351870e-003 -8.631268e-001 
1.324882e-001 -1.521969e-001 -9.794299e-001 
2.288466e-001 2.388072e-002 -8.224780e-001 
5.461753e-001 3.461055e-003 -8.376638e-001 
6.582684e-001 -7.430856e-002 -7.491068e-001 
-5.892714e-001 8.935913e-002 -8.029783e-001 
-4.207177e-001 1.064942e-001 -9.009193e-001 
-1.364592e-001 1.755602e-002 -8.298747e-001 
-4.056046e-002 1.683265e-001 -8.375764e-001 
1.257607e-001 1.524168e-001 -8.248035e-001 
3.702530e-001 8.134135e-002 -7.631575e-001 
5.151758e-001 1.680505e-001 -8.404481e-001 
6.671427e-001 1.074674e-001 -7.371373e-001 
-5.032530e-001 2.560483e-001 -8.253337e-001 
-3.301744e-001 2.492708e-001 -9.104114e-001 
-2.195287e-001 1.722916e-001 -8.124914e-001 
-1.119430e-001 3.111291e-001 -7.898323e-001 
8.608089e-002 3.097257e-001 -8.050360e-001 
2.588432e-001 2.196560e-001 -7.887229e-001 
3.694030e-001 2.377226e-001 -8.983482e-001 
6.141447e-001 2.617658e-001 -7.445166e-001 
-3.601434e-001 4.112275e-001 -8.373701e-001 
-2.029139e-001 3.792306e-001 -9.027791e-001 
-6.161952e-002 4.893516e-001 -8.699069e-001 
1.256089e-001 4.567278e-001 -8.806941e-001 
3.016387e-001 4.041701e-001 -8.635164e-001 
4.717000e-001 3.629480e-001 -8.035969e-001 
-2.176496e-001 5.422274e-001 -8.115529e-001 
-7.036551e-002 6.363979e-001 -7.681448e-001 
9.225152e-002 5.937478e-001 -7.993455e-001 
2.595093e-001 5.595931e-001 -7.870898e-001 
-3.798460e-001 -6.478993e-001 -6.602602e-001 
-2.216301e-001 -7.332476e-001 -6.428282e-001 
-5.605525e-002 -6.820192e-001 -7.291828e-001 
9.326114e-002 -7.538675e-001 -6.503739e-001 
2.508462e-001 -6.907836e-001 -6.781550e-001 
3.997446e-001 -6.096812e-001 -6.844655e-001 
-5.321890e-001 -4.372433e-001 -7.249781e-001 
-3.937684e-001 -4.680291e-001 -6.030706e-001 
-2.303653e-001 -5.329425e-001 -6.447257e-001 
-6.433972e-002 -6.285327e-001 -6.036020e-001 
1.171341e-001 -5.693261e-001 -6.401835e-001 
2.638069e-001 -4.946096e-001 -6.577475e-001 
4.030619e-001 -4.640346e-001 -7.888048e-001 
5.460583e-001 -5.163936e-001 -6.596651e-001 
-6.680448e-001 -4.057379e-001 -6.237731e-001 
-4.638832e-001 -2.995310e-001 -6.618836e-001 
-3.125765e-001 -3.550162e-001 -7.010420e-001 
-1.547476e-001 -4.126929e-001 -7.358715e-001 
