876 3 
67 142 143 
125 135 237 
46 54 125 
54 125 135 
306 318 437 
237 343 355 
488 617 630 
1279 1280 1285 
105 115 202 
105 190 202 
46 115 125 
46 105 115 
6 7 11 
666 667 809 
1280 1285 1286 
630 761 774 
617 630 761 
355 367 501 
125 226 237 
115 125 226 
226 237 343 
226 331 343 
1037 1136 1147 
318 331 463 
343 355 489 
355 489 501 
937 1048 1058 
590 604 748 
734 875 888 
733 861 874 
914 1037 1048 
914 926 1048 
734 748 888 
590 734 748 
786 913 925 
913 925 1047 
603 747 761 
603 733 747 
733 747 874 
38 46 105 
30 38 105 
38 46 47 
6 10 11 
5 6 10 
135 237 247 
135 144 247 
237 247 355 
247 355 367 
665 666 809 
522 665 666 
500 630 642 
488 500 630 
670 813 814 
936 1057 1065 
1237 1243 1289 
367 501 512 
367 377 512 
377 512 522 
775 914 926 
115 202 214 
115 214 226 
214 226 331 
261 389 390 
1223 1279 1285 
1223 1272 1279 
1058 1157 1158 
1048 1058 1157 
1037 1147 1157 
1037 1048 1157 
331 343 476 
343 476 489 
331 463 476 
46 47 54 
47 54 55 
135 136 144 
54 135 136 
762 775 901 
775 901 914 
901 914 1025 
489 501 643 
476 489 618 
926 937 1048 
247 256 367 
144 247 256 
256 367 377 
377 522 523 
377 385 523 
522 523 666 
179 190 306 
190 202 306 
71 142 150 
15 17 65 
17 65 66 
65 70 71 
65 66 71 
14 15 63 
989 1001 1102 
875 989 1001 
318 437 450 
437 450 577 
318 450 463 
450 590 604 
450 463 604 
1220 1221 1271 
401 533 540 
874 1000 1012 
861 874 1000 
1000 1012 1112 
748 888 901 
888 901 1025 
937 938 1058 
642 774 786 
774 786 913 
630 642 774 
925 936 1057 
1012 1024 1124 
1012 1112 1124 
1222 1223 1272 
1147 1222 1223 
1136 1147 1222 
1125 1136 1222 
1260 1266 1291 
925 1047 1057 
1024 1036 1146 
1057 1065 1165 
1237 1283 1289 
1237 1283 1284 
1282 1288 1289 
1277 1282 1283 
1282 1283 1289 
1281 1282 1294 
1281 1282 1288 
1277 1282 1294 
774 900 913 
900 913 1036 
761 774 900 
747 761 900 
1 5 6 
813 814 951 
806 814 951 
524 667 668 
524 666 667 
523 524 666 
264 380 388 
380 387 388 
66 67 142 
66 71 142 
354 475 488 
342 354 475 
142 143 151 
15 16 17 
1280 1286 1287 
1280 1281 1287 
1281 1287 1288 
1239 1285 1286 
1158 1239 1245 
1237 1238 1284 
524 525 668 
387 524 525 
1169 1172 1247 
798 926 937 
489 618 631 
489 631 643 
618 631 762 
631 762 775 
655 665 798 
522 655 665 
512 522 655 
214 306 318 
214 318 331 
202 214 306 
862 875 989 
5 10 47 
5 38 47 
501 512 643 
512 643 655 
256 377 385 
748 762 901 
604 748 762 
463 476 618 
463 604 618 
604 618 762 
590 721 734 
577 590 721 
450 577 590 
425 437 577 
293 305 436 
945 1064 1065 
945 951 1064 
806 945 951 
936 945 1065 
71 150 155 
55 62 63 
54 55 62 
54 62 136 
15 64 65 
64 69 70 
64 65 70 
15 63 64 
153 264 380 
153 263 380 
69 152 153 
1024 1135 1146 
1024 1124 1135 
1124 1135 1221 
1135 1220 1230 
1135 1220 1221 
1135 1146 1230 
1266 1291 1293 
1281 1293 1294 
1291 1293 1294 
1157 1158 1231 
1147 1157 1231 
1147 1223 1231 
1158 1231 1239 
1223 1231 1285 
1231 1239 1285 
1124 1211 1221 
1112 1124 1211 
955 956 1073 
818 954 955 
114 201 213 
394 401 533 
589 603 733 
563 708 720 
708 720 861 
589 720 733 
720 733 861 
402 412 541 
282 402 412 
273 401 402 
1091 1191 1201 
1001 1013 1125 
888 1013 1025 
1013 1125 1136 
1013 1025 1136 
875 888 1013 
875 1001 1013 
1025 1037 1136 
914 1025 1037 
810 946 947 
950 951 1064 
813 950 951 
1036 1047 1146 
913 1036 1047 
1237 1238 1244 
1165 1238 1244 
1237 1243 1244 
1170 1243 1244 
1064 1065 1171 
1170 1171 1244 
1269 1277 1294 
1269 1291 1294 
21 74 75 
21 75 76 
21 22 76 
21 22 27 
1286 1287 1290 
1287 1288 1290 
1172 1246 1247 
1167 1245 1246 
386 523 524 
263 385 386 
385 386 523 
263 380 386 
380 386 387 
386 387 524 
264 265 388 
796 936 945 
796 806 945 
52 60 67 
60 66 67 
255 376 521 
2 3 42 
11 12 16 
7 11 12 
7 12 42 
9 36 44 
104 114 201 
1170 1242 1243 
1169 1170 1242 
1169 1242 1247 
1242 1247 1290 
1242 1288 1290 
1242 1288 1289 
1242 1243 1289 
1058 1158 1166 
1158 1166 1245 
1166 1167 1245 
938 1058 1166 
667 668 815 
667 810 815 
815 947 948 
810 815 947 
673 815 948 
668 673 815 
389 390 527 
390 527 528 
950 1064 1070 
1070 1169 1170 
1070 1170 1171 
1064 1070 1171 
643 655 787 
655 787 798 
787 798 926 
775 787 926 
631 775 787 
631 643 787 
734 862 875 
721 734 862 
709 721 862 
10 47 55 
10 14 55 
14 55 63 
564 577 721 
564 709 721 
425 564 577 
294 413 425 
179 294 306 
294 306 437 
294 425 437 
225 342 354 
225 236 354 
61 67 143 
52 61 67 
672 806 814 
70 71 155 
144 256 257 
144 145 257 
256 257 385 
1156 1230 1238 
1057 1156 1165 
1156 1165 1238 
1146 1156 1230 
1047 1057 1156 
1047 1146 1156 
1125 1212 1222 
1212 1222 1272 
1202 1212 1272 
1264 1272 1279 
1202 1264 1272 
1274 1280 1281 
1274 1281 1293 
1274 1279 1280 
1200 1221 1271 
1200 1211 1221 
1249 1252 1253 
1253 1254 1261 
1253 1260 1261 
1091 1101 1201 
976 1091 1101 
1101 1112 1201 
1000 1101 1112 
401 402 540 
402 540 541 
85 168 178 
74 75 164 
75 76 160 
76 160 167 
201 305 317 
305 317 436 
271 393 394 
22 28 84 
3 27 28 
22 27 28 
84 85 94 
576 589 720 
563 576 720 
293 412 424 
424 563 576 
424 436 576 
293 424 436 
266 271 393 
167 168 273 
168 273 282 
168 178 282 
273 282 402 
272 394 401 
272 273 401 
271 272 394 
160 167 272 
167 272 273 
330 342 475 
213 330 342 
946 947 1066 
938 946 1066 
808 938 946 
665 808 809 
665 798 808 
874 887 1012 
747 874 887 
747 887 900 
887 1012 1024 
887 1024 1036 
887 900 1036 
849 966 976 
838 849 966 
1112 1201 1211 
1191 1201 1211 
1191 1200 1211 
818 953 954 
266 392 393 
678 685 827 
533 678 685 
685 827 828 
533 540 685 
540 685 686 
685 686 828 
1230 1238 1284 
1220 1230 1284 
1065 1165 1171 
1165 1171 1244 
1277 1278 1283 
1278 1283 1284 
1220 1278 1284 
1220 1271 1278 
1262 1269 1292 
1261 1262 1292 
1260 1291 1292 
1269 1291 1292 
1260 1261 1292 
1 5 31 
5 31 38 
18 24 25 
283 294 413 
95 105 190 
30 95 105 
169 179 283 
179 283 294 
1240 1245 1246 
1240 1246 1247 
1239 1240 1245 
1239 1240 1286 
1240 1286 1290 
1240 1247 1290 
950 1069 1070 
1069 1169 1172 
1069 1070 1169 
154 264 265 
154 155 265 
69 70 154 
70 154 155 
153 154 264 
69 153 154 
797 925 936 
796 797 936 
786 797 925 
642 786 797 
52 53 61 
44 52 53 
13 17 60 
17 60 66 
2 7 42 
1 2 6 
2 6 7 
366 488 500 
236 354 366 
236 366 376 
354 366 488 
520 528 672 
255 384 521 
384 390 528 
384 520 528 
143 151 246 
151 246 255 
246 255 376 
236 246 376 
261 262 390 
262 384 390 
255 262 384 
384 520 521 
36 37 44 
11 14 16 
14 15 16 
10 11 14 
673 816 948 
670 674 816 
525 673 674 
525 668 673 
525 526 674 
387 388 526 
387 525 526 
1066 1067 1167 
947 1066 1067 
1067 1172 1246 
1067 1167 1246 
261 265 389 
265 388 389 
155 261 265 
150 155 261 
667 809 810 
809 810 946 
808 809 946 
257 263 385 
152 257 263 
152 153 263 
552 565 697 
413 552 565 
564 697 709 
564 565 697 
697 709 839 
53 124 225 
44 45 53 
45 114 124 
45 53 124 
37 44 45 
62 136 145 
136 144 145 
63 64 68 
