3319 3 
24 60 18 
280 116 141 
171 179 136 
96 88 95 
16 25 26 
127 189 259 
477 443 447 
282 281 196 
353 413 355 
538 444 537 
34 35 66 
22 25 47 
12 23 16 
397 402 6 
85 86 57 
23 40 13 
69 70 113 
11 84 24 
13 40 29 
13 16 23 
23 14 40 
143 142 117 
28 12 53 
65 31 36 
92 162 207 
17 118 83 
17 44 118 
26 24 20 
47 25 13 
53 12 20 
16 20 12 
58 11 37 
26 20 16 
23 12 28 
65 64 31 
403 6 402 
29 39 47 
37 11 43 
28 15 23 
14 23 15 
25 11 26 
32 38 36 
13 25 16 
25 22 43 
11 24 26 
54 24 18 
184 56 87 
14 30 10 
10 104 14 
31 30 14 
17 37 44 
307 421 520 
31 14 15 
347 243 245 
36 31 15 
38 65 36 
52 19 32 
407 243 347 
28 75 15 
89 46 86 
35 30 64 
62 106 48 
15 75 36 
121 104 62 
274 1623 272 
32 36 51 
78 76 77 
37 43 44 
79 194 41 
30 35 10 
113 139 74 
84 58 57 
54 42 53 
145 121 62 
14 29 40 
59 45 58 
77 79 41 
76 51 75 
25 43 11 
44 43 22 
47 44 22 
170 173 140 
37 91 58 
83 92 125 
103 94 55 
103 55 18 
29 47 13 
44 47 39 
35 34 108 
35 108 107 
147 72 50 
64 66 35 
71 34 66 
194 279 41 
28 53 76 
41 81 78 
81 52 32 
131 155 4 
54 53 20 
76 53 42 
24 54 20 
55 54 18 
54 55 42 
103 60 61 
121 29 104 
158 7 203 
85 57 45 
60 57 46 
91 37 17 
57 58 45 
91 125 59 
45 59 167 
60 24 84 
60 46 61 
86 46 57 
168 186 187 
107 63 106 
62 48 145 
146 108 34 
246 108 146 
31 64 30 
66 64 49 
69 65 38 
64 65 49 
49 69 68 
66 49 68 
68 74 71 
111 27 148 
49 65 69 
71 74 114 
110 147 38 
72 147 110 
469 139 70 
34 71 73 
68 71 66 
497 529 473 
110 38 32 
412 411 352 
147 69 38 
5 82 150 
67 111 115 
113 74 68 
76 75 28 
36 75 51 
193 100 102 
81 41 52 
80 42 55 
78 77 41 
51 76 78 
42 77 76 
79 80 4 
77 42 80 
4 80 55 
79 77 80 
32 51 81 
78 81 51 
82 5 151 
337 271 228 
119 44 39 
183 120 105 
58 84 11 
60 84 57 
191 85 45 
85 33 86 
89 90 88 
86 90 89 
1258 901 809 
99 4 94 
94 4 55 
46 89 61 
90 86 33 
61 89 88 
189 168 187 
122 90 186 
125 91 17 
58 91 59 
92 160 137 
126 188 191 
137 7 133 
186 87 122 
122 56 164 
61 96 94 
116 152 141 
155 116 156 
88 96 61 
100 96 95 
56 166 164 
1259 129 1258 
94 100 99 
99 128 131 
94 96 100 
152 116 131 
166 95 164 
141 152 157 
216 186 168 
235 169 436 
166 100 95 
157 130 142 
60 103 18 
94 103 61 
14 104 29 
10 62 104 
166 102 100 
343 1613 183 
107 62 10 
409 349 63 
62 107 106 
10 35 107 
146 34 73 
63 107 108 
244 73 148 
246 244 245 
32 19 110 
110 19 72 
114 73 71 
452 197 476 
469 82 139 
139 67 74 
69 113 68 
139 113 70 
115 74 67 
148 114 111 
111 114 115 
74 115 114 
344 143 480 
373 464 510 
131 128 152 
101 144 154 
119 118 44 
159 118 119 
120 119 39 
48 345 343 
121 39 29 
160 92 83 
105 120 121 
39 121 120 
123 138 159 
88 90 122 
122 87 56 
138 124 158 
124 182 366 
120 123 119 
209 92 207 
83 125 17 
209 125 92 
190 187 33 
302 301 270 
56 184 185 
130 157 152 
130 152 128 
963 894 511 
170 174 173 
130 97 142 
156 278 279 
102 166 135 
154 153 102 
383 304 425 
1526 0 1506 
486 475 479 
255 101 225 
278 195 196 
7 137 160 
153 128 102 
139 82 151 
158 124 174 
411 149 329 
67 139 151 
133 179 161 
136 7 170 
203 138 158 
225 185 165 
330 332 192 
170 7 158 
136 140 204 
100 193 99 
1259 144 129 
101 154 135 
801 798 730 
165 217 221 
92 137 162 
142 97 1264 
183 1613 176 
343 145 48 
121 145 105 
73 244 146 
435 455 67 
246 409 63 
70 69 147 
244 148 27 
114 148 73 
163 366 1614 
67 455 111 
469 147 50 
285 112 231 
470 333 341 
247 151 5 
155 79 4 
273 275 277 
130 153 97 
128 153 130 
102 135 154 
72 271 50 
194 155 156 
116 155 131 
99 131 4 
154 144 1259 
742 900 740 
157 142 143 
159 83 118 
138 203 159 
123 159 119 
136 133 7 
133 162 137 
83 7 160 
162 133 161 
208 210 181 
250 162 161 
167 209 126 
176 138 123 
182 1613 21 
95 88 164 
122 164 88 
186 216 87 
132 364 964 
212 166 56 
212 135 166 
209 167 59 
191 167 126 
90 187 186 
213 215 168 
469 70 147 
183 176 123 
140 173 177 
140 136 170 
161 179 354 
346 399 404 
204 177 178 
170 158 174 
172 1617 177 
1615 21 436 
172 173 174 
172 174 366 
178 413 204 
288 286 385 
138 176 124 
172 177 173 
177 175 178 
400 233 286 
178 175 291 
136 179 133 
171 413 354 
171 204 413 
600 608 531 
162 208 207 
126 211 93 
176 182 124 
182 21 1615 
120 183 123 
105 145 343 
217 87 216 
185 184 165 
955 221 890 
135 212 101 
187 90 33 
216 168 215 
33 191 190 
189 127 213 
93 299 126 
259 260 227 
298 187 190 
189 260 259 
191 33 85 
190 188 298 
191 45 167 
190 191 188 
19 52 281 
329 331 335 
102 128 193 
99 193 128 
155 194 79 
461 319 229 
280 156 116 
344 157 143 
196 195 282 
52 41 196 
435 67 151 
199 238 422 
5 452 247 
399 472 404 
163 1617 172 
285 351 202 
202 199 198 
338 317 468 
564 543 238 
109 347 245 
197 285 202 
169 235 385 
83 159 203 
7 83 203 
136 204 171 
177 204 140 
460 417 371 
313 1624 427 
314 316 310 
208 206 251 
162 250 208 
209 207 181 
314 251 206 
181 207 208 
211 209 181 
125 209 59 
303 301 210 
252 210 301 
211 181 252 
126 209 211 
56 185 212 
212 185 101 
253 293 127 
168 189 213 
293 214 215 
255 129 144 
127 215 213 
165 184 217 
218 215 214 
217 184 87 
216 218 217 
801 218 214 
215 218 216 
864 868 875 
266 265 268 
357 358 258 
224 132 489 
132 222 489 
218 221 217 
808 757 763 
616 744 867 
101 255 144 
253 798 293 
426 359 226 
364 132 224 
456 357 258 
640 642 294 
185 225 101 
620 622 618 
132 511 609 
507 372 765 
263 127 262 
19 281 272 
330 192 327 
256 372 612 
321 273 277 
321 1623 273 
272 271 72 
435 247 350 
285 197 382 
231 112 470 
533 491 532 
1618 241 481 
389 472 399 
202 234 199 
387 239 384 
498 529 497 
553 983 830 
557 350 396 
350 476 198 
456 448 357 
398 466 232 
429 395 346 
198 396 350 
483 384 233 
472 478 483 
612 507 770 
109 491 242 
199 558 396 
334 236 467 
558 199 287 
349 348 345 
289 109 242 
246 63 108 
27 201 244 
245 244 201 
109 245 201 
246 245 243 
246 243 409 
146 244 246 
352 452 5 
248 236 334 
192 321 323 
470 341 236 
504 415 474 
355 249 361 
250 161 316 
208 250 206 
180 210 251 
208 251 210 
211 252 93 
181 210 252 
127 259 262 
263 253 127 
294 284 773 
496 562 383 
257 731 220 
800 801 730 
706 27 566 
419 510 464 
800 888 890 
635 295 527 
532 668 509 
957 898 964 
189 298 260 
227 1625 262 
299 260 298 
260 93 300 
300 227 260 
253 263 266 
227 262 259 
262 261 263 
861 266 267 
269 266 263 
312 1625 482 
662 304 423 
723 268 796 
268 798 253 
269 263 261 
730 793 610 
312 482 392 
861 264 859 
809 902 904 
731 732 891 
1629 261 420 
266 269 267 
270 482 302 
302 482 1625 
72 19 272 
329 149 332 
272 230 274 
228 271 272 
275 274 230 
278 319 195 
230 282 275 
274 273 1623 
461 766 464 
273 274 275 
229 480 461 
321 192 1623 
374 275 195 
322 320 321 
279 278 196 
280 278 156 
41 279 196 
156 279 194 
344 280 141 
278 280 229 
196 281 52 
272 281 230 
275 282 195 
281 282 230 
351 542 564 
483 400 404 
285 290 351 
537 561 405 
435 350 471 
566 27 709 
391 310 360 
576 566 709 
405 856 855 
200 571 569 
422 238 543 
408 410 403 
410 6 403 
48 106 349 
285 231 290 
1614 1615 390 
175 1618 1619 
291 249 355 
296 258 292 
359 426 439 
127 293 215 
266 268 253 
361 363 362 
491 134 242 
458 740 738 
292 258 358 
618 205 494 
294 388 640 
648 365 638 
643 774 642 
298 189 187 
299 298 188 
126 299 188 
93 260 299 
301 300 93 
302 300 301 
252 301 93 
303 210 180 
270 303 441 
227 300 302 
440 315 490 
270 301 303 
180 427 303 
509 669 423 
465 305 457 
428 439 426 
427 433 441 
229 344 480 
180 313 427 
1630 745 616 
314 313 180 
597 340 334 
477 386 443 
440 614 315 
316 314 206 
316 360 310 
456 428 448 
1626 1627 434 
357 448 391 
588 594 317 
180 251 314 
338 453 339 
206 250 316 
310 313 314 
296 807 258 
919 1308 1054 
171 354 179 
358 360 356 
1624 310 391 
440 312 432 
322 373 276 
318 373 374 
229 319 278 
374 319 318 
510 528 276 
327 192 323 
322 321 277 
323 321 320 
373 322 277 
446 322 276 
311 328 323 
328 376 327 
485 324 326 
474 307 520 
380 339 336 
5 150 412 
311 459 450 
376 326 324 
328 327 323 
330 327 331 
311 323 320 
328 326 376 
329 330 331 
50 271 337 
331 327 325 
332 330 329 
336 331 325 
336 335 331 
411 412 149 
332 228 1623 
339 333 336 
855 854 389 
411 329 335 
150 50 337 
333 112 335 
197 202 476 
376 377 380 
335 336 333 
332 337 228 
290 231 248 
530 589 465 
339 453 333 
380 336 325 
714 679 595 
317 377 324 
609 226 222 
453 338 468 
248 232 290 
385 239 169 
169 1621 436 
346 404 342 
495 387 384 
487 394 235 
459 311 320 
532 705 668 
239 385 286 
472 389 478 
172 366 163 
109 289 347 
347 289 407 
348 407 408 
348 408 394 
63 349 106 
345 348 394 
476 202 198 
451 577 700 
382 197 452 
351 290 542 
248 470 236 
335 112 382 
178 291 355 
353 356 354 
353 362 356 
316 161 354 
361 249 414 
353 355 362 
356 292 358 
316 354 356 
361 617 363 
662 425 304 
361 205 617 
360 358 357 
417 446 528 
459 446 417 
360 357 391 
356 360 316 
507 767 768 
362 292 356 
355 361 362 
755 628 762 
774 284 294 
507 612 372 
732 255 225 
527 626 755 
129 257 901 
746 748 219 
556 535 555 
1625 420 261 
512 440 432 
422 543 437 
942 944 945 
549 548 431 
464 318 461 
567 422 200 
312 490 1625 
254 506 284 
1616 163 390 
993 561 444 
809 901 902 
305 465 450 
374 373 277 
464 373 318 
275 374 277 
319 374 195 
465 485 450 
317 338 377 
377 376 324 
376 325 327 
597 334 467 
380 377 338 
465 589 485 
756 634 721 
485 589 324 
381 430 598 
339 380 338 
325 376 380 
386 477 718 
505 598 430 
533 534 397 
335 382 352 
470 112 333 
396 198 199 
6 134 397 
1619 249 291 
422 287 199 
239 286 233 
415 307 474 
233 384 239 
234 202 351 
387 495 393 
199 234 238 
345 48 349 
562 496 539 
1620 1622 1616 
332 149 337 
361 414 205 
500 604 445 
366 174 124 
363 295 635 
21 235 436 
343 345 487 
393 1620 1621 
343 487 21 
415 378 307 
398 248 334 
496 383 425 
429 346 397 
532 491 297 
342 402 397 
134 491 533 
714 595 468 
248 398 232 
537 240 538 
519 414 416 
400 342 404 
288 403 286 
444 561 537 
583 524 686 
342 397 346 
400 286 403 
400 403 402 
408 403 288 
728 790 945 
288 385 235 
537 395 240 
404 472 483 
706 201 27 
346 395 399 
408 407 289 
348 349 409 
408 289 410 
288 235 394 
243 407 409 
409 407 348 
289 242 410 
6 410 242 
335 352 411 
5 412 352 
150 337 412 
149 412 337 
355 413 178 
354 413 353 
481 504 249 
631 523 624 
483 478 384 
459 320 446 
249 416 414 
495 478 462 
427 441 303 
304 383 538 
734 735 220 
650 651 649 
388 294 773 
506 306 528 
743 615 1695 
1616 1694 1693 
392 482 270 
297 491 109 
979 671 814 
463 542 232 
292 362 363 
850 727 401 
880 862 950 
395 429 240 
897 515 226 
502 605 500 
415 430 378 
237 737 744 
515 426 226 
363 296 292 
779 525 720 
617 618 295 
297 704 705 
814 1131 816 
359 757 489 
21 487 235 
422 437 200 
393 495 497 
460 1626 457 
449 426 515 
599 442 378 
1629 269 261 
241 505 430 
444 562 993 
895 513 896 
897 896 515 
365 254 284 
393 1621 387 
368 443 442 
340 398 334 
523 421 518 
382 452 352 
512 458 440 
563 700 683 
433 392 441 
415 241 430 
528 446 276 
433 427 438 
449 428 426 
745 315 614 
545 557 431 
541 672 699 
304 429 423 
373 510 276 
654 375 652 
490 420 1625 
328 311 326 
381 445 493 
670 424 667 
773 506 256 
433 432 392 
391 428 449 
551 550 547 
456 761 428 
157 344 141 
446 320 322 
305 459 417 
312 392 432 
428 391 448 
455 435 471 
993 562 539 
549 570 552 
242 134 6 
542 463 369 
247 435 151 
957 364 803 
1122 1033 1100 
459 305 450 
498 497 495 
512 367 458 
716 718 477 
520 521 474 
588 317 324 
305 417 460 
485 311 450 
443 484 442 
480 765 766 
229 280 344 
475 478 389 
458 614 440 
394 487 345 
270 441 392 
461 318 319 
528 510 419 
311 485 326 
656 658 654 
604 368 493 
600 531 602 
697 675 989 
333 453 341 
675 697 379 
595 453 468 
50 150 469 
82 469 150 
467 236 341 
476 350 247 
542 290 232 
240 429 304 
846 794 845 
528 419 506 
471 557 545 
233 400 483 
470 248 231 
381 529 445 
341 453 595 
387 1621 239 
285 382 112 
575 678 675 
529 498 445 
462 486 488 
224 803 364 
529 381 598 
475 462 478 
562 444 538 
486 462 475 
247 452 476 
402 342 400 
440 490 312 
849 727 850 
343 183 105 
495 384 478 
258 807 456 
767 507 765 
307 378 442 
501 498 488 
288 394 408 
488 486 503 
575 379 680 
498 495 462 
449 438 1624 
506 254 306 
496 425 424 
205 414 519 
1617 175 177 
497 473 1622 
457 305 460 
442 599 368 
600 477 447 
486 479 499 
853 724 791 
791 479 853 
484 421 307 
462 488 498 
306 254 648 
501 445 498 
256 419 372 
588 589 592 
427 1624 438 
854 855 856 
745 490 315 
486 499 503 
522 519 521 
501 488 503 
502 500 501 
445 501 500 
942 946 502 
386 421 484 
852 724 853 
501 503 502 
249 504 416 
241 504 481 
504 241 415 
1618 175 1617 
652 1626 434 
365 637 638 
669 509 454 
417 528 371 
811 640 388 
397 134 533 
1258 129 901 
536 994 1131 
143 768 767 
256 506 419 
222 359 489 
129 255 257 
433 513 432 
512 432 513 
438 514 433 
513 433 514 
515 438 449 
515 514 438 
897 511 894 
222 226 359 
737 237 738 
744 737 517 
1641 8 951 
560 447 368 
626 527 622 
521 519 416 
205 519 522 
474 521 416 
494 205 522 
416 504 474 
521 520 522 
523 520 421 
522 520 523 
526 523 518 
624 523 526 
580 720 703 
690 688 526 
386 518 421 
619 620 623 
677 690 718 
584 690 677 
627 622 619 
636 757 758 
464 766 419 
371 528 306 
938 1327 789 
493 445 604 
457 530 465 
381 493 599 
307 442 484 
599 430 381 
297 109 201 
509 423 534 
509 533 532 
429 534 423 
397 534 429 
509 534 533 
471 545 455 
549 287 567 
1456 1457 1673 
496 424 670 
855 537 405 
537 399 395 
304 538 240 
562 538 383 
1518 1519 999 
401 561 540 
1591 1601 1051 
265 796 268 
451 340 597 
681 379 697 
463 232 466 
369 543 564 
564 238 234 
463 565 369 
717 677 716 
666 671 590 
548 545 431 
547 555 566 
567 570 549 
586 701 712 
551 576 545 
551 547 576 
431 558 549 
548 546 550 
546 548 552 
548 549 552 
550 546 712 
566 555 535 
545 548 551 
550 551 548 
567 568 570 
568 569 930 
553 568 930 
546 552 554 
574 554 553 
776 556 701 
547 550 555 
556 555 550 
712 554 586 
705 708 668 
350 557 471 
558 557 396 
549 558 287 
557 558 431 
371 306 1627 
699 680 565 
447 443 368 
443 386 484 
700 398 340 
541 699 563 
773 612 388 
824 1139 673 
369 564 542 
351 564 234 
541 683 702 
697 573 681 
704 566 535 
709 27 111 
422 567 287 
568 567 200 
569 568 200 
568 553 570 
571 200 437 
569 571 681 
553 554 570 
552 570 554 
565 572 437 
571 379 681 
543 369 437 
700 577 683 
700 563 466 
573 988 836 
678 575 672 
779 720 780 
566 576 547 
673 694 579 
1342 579 694 
574 711 693 
702 692 370 
572 565 680 
781 787 782 
678 672 370 
696 711 835 
675 379 575 
780 720 722 
603 524 584 
584 688 690 
682 822 821 
715 840 685 
685 828 822 
623 719 632 
711 696 693 
703 687 632 
585 834 838 
692 544 579 
832 711 830 
554 574 693 
1135 917 976 
556 587 707 
556 712 701 
649 655 652 
594 588 592 
592 589 530 
324 589 588 
696 911 693 
571 572 379 
656 657 658 
968 970 971 
592 530 657 
591 1637 594 
582 685 682 
841 714 593 
591 594 592 
317 594 593 
714 468 317 
467 341 595 
591 656 967 
684 597 467 
684 679 715 
682 698 777 
505 1693 1694 
529 598 473 
599 493 368 
430 599 378 
608 600 447 
601 1077 1078 
687 721 632 
602 716 600 
726 795 725 
784 603 783 
688 524 583 
601 677 717 
605 604 500 
368 604 560 
792 725 846 
